Fluxo de Trabalho;Responsável;Sprint;Tipo de História;Sub-Classificação;Pontuação;Duração estimada;Duração total do impedimento;Motivo do impedimento;Squad;Aberto em;Finalizado em
Ativado - Disponível para uso;Desenvolvedor 10;A - Sprint 1 R2 2025;Produto Digital com Software;Adequação  a um novo requisito não-funcional;3;Até 1 semana - 5 dias úteis (PP);803727;Dependências externas;Squad 6;04/04/2025 17:50:34;25/04/2025 17:48:13
Ativado - Disponível para uso;Desenvolvedor 18;_I1_R1_25;Parametrização de Software;Parametrizações;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;07/04/2025 09:23:21;09/04/2025 09:24:34
Ativado - Disponível para uso;Desenvolvedor 33;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);136;Dependências externas;Squad 2;07/04/2025 10:15:13;25/04/2025 11:31:28
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;07/04/2025 10:18:48;16/04/2025 11:47:06
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;8;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;07/04/2025 10:31:49;24/04/2025 14:00:57
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;07/04/2025 10:45:49;08/05/2025 23:33:07
Ativado - Disponível para uso;Desenvolvedor 25;;Produto Digital com Software;Evolução Técnica;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;07/04/2025 10:48:10;25/04/2025 18:17:54
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 2 RELEASE 2;Atividades Pura-Infra;Pura-Infra;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;07/04/2025 10:55:35;13/05/2025 22:24:56
Ativado - Disponível para uso;Desenvolvedor 33;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);88930;Falta de informações/Erros de definição;Squad 2;07/04/2025 11:04:23;12/05/2025 09:47:25
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 1 RELEASE 2;Atividades Pura-Infra;Pura-Infra;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;07/04/2025 11:48:35;08/04/2025 22:31:23
